id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,A Place Boutique - Deluxe suite,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,208,1,3,2022-05-15,0.02,10,257,0,
345959,Marleen's home in Antwerp city,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,63,3,135,2025-09-07,0.83,1,272,20,
366252,ROOM IN FAMILY HOME near C. Station,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,34,1,162,2024-09-26,0.99,2,28,0,
522693,Ahome Awayfromhome,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,,2,0,,,1,0,0,
636664,"sunny rooftop apartment, sleeps 2-5",462975,Els,,Borgerhout Intra Muros Noord,51.21749,4.43053,Entire home/apt,98,2,134,2025-08-17,0.84,1,27,4,
772842,Stylish Boho Loftstyle Appartment w/ Amazing Views,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,77,10,83,2025-07-28,0.54,1,270,9,
813969,150 m² loft (terrace & river view),4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,226,1,142,2025-09-07,1.13,3,45,7,
890384,A terrace and plunchpool in Antwerp city,3185214,Annemie,,Centraal Station,51.21264,4.42573,Entire home/apt,116,5,1,2024-07-30,0.07,1,8,0,
891884,A Place Boutique -  Deluxe square view Suite,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Hotel room,,1,3,2022-05-10,0.04,10,245,0,
891907,A Place Boutique - 2 bedroom Apartment with patio,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,318,1,38,2025-09-19,0.28,10,66,10,
959200,Artistic Guesthouse Anita - Hidden Gem in Antwerp,4715596,Caroline,,Borgerhout Intra Muros Noord,51.21531295776367,4.438202857971191,Entire home/apt,62,30,85,2025-08-01,0.59,3,40,9,
991824,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,78,1,404,2025-09-06,2.67,2,334,42,
1050693,Colourful Inspiration In Every Room,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,72,1,37,2025-08-25,0.25,2,334,3,
1123076,"Two-bedroom Apartment
 Antwerp",5104070,Tim,,Universiteitsbuurt,51.22266574900081,4.411493147724809,Entire home/apt,79,2,8,2025-09-20,1.62,1,288,8,
1184623,Penthouse in Antwerp-Eilandje,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,221,2,44,2025-07-22,0.30,2,135,6,
1227242,Cosy ship Auwe Neel Antwerp Belgium,4193029,Jan,,Eilandje,51.22861,4.40386,Private room,58,1,95,2025-09-21,1.39,2,353,15,
1328770,Cosy historic Ship Hannus  Antwerp,4193029,Jan,,Eilandje,51.22868,4.40399,Private room,58,1,234,2025-09-14,1.58,2,329,21,
1779539,Bed & Breakfast The Welcome House,9342946,Tine,,Zurenborg,51.20714,4.42705,Private room,56,2,16,2019-08-11,0.18,2,239,0,
1808782,LOFT 1D  - conceptual loft,9478810,Keith,,Sint-Andries,51.21232,4.39571,Entire home/apt,100,2,302,2025-09-14,2.11,1,47,27,
1901179,Cosy apartment near Central Station,4417826,Timur,,Amandus - Atheneum,51.22098,4.42542,Entire home/apt,63,1,655,2025-09-20,4.55,1,314,62,
2282418,Appartement met 1 slaapkamer,11633996,Samira,,Borgerhout Extra Muros,51.21264,4.45213,Entire home/apt,,2,196,2024-08-28,1.56,1,0,0,
2448815,Maison Nationale Penthouse Suite,450285303,Lander,,Sint-Andries,51.21603012084961,4.399158954620361,Entire home/apt,235,1,0,,,10,324,0,
2474748,Sunny house Antwerp-Zuid. Parking spot included.,7818030,Dominique,,Zuid,51.20907,4.38672,Entire home/apt,159,2,286,2025-09-15,2.03,2,55,47,
2507353,Cosy private room near station/town,2330818,Annemie,,Amandus - Atheneum,51.21877,4.42976,Private room,49,2,218,2025-09-25,1.55,1,286,30,
2543695,A Place Boutique - 2 bedroom Apartment,234077,Calvin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,275,1,42,2025-08-14,0.32,10,102,6,
2602613,Light and spacious duplex apartment,13330269,Joelle,,Borgerhout Intra Muros Zuid,51.21595,4.43032,Entire home/apt,54,2,311,2025-09-02,2.23,1,0,33,
2659281,Gezellig rijtjeshuis met tuin vlakbij groot park.,6602849,Rudina,,Deurne Dorp - Gallifort,51.21962,4.45746,Entire home/apt,220,5,19,2025-08-16,0.49,1,11,5,
2682808,Cosy room in a charming house,13733939,An,,Oud - Berchem,51.19926,4.42986,Private room,44,2,550,2025-09-13,3.93,1,349,26,
2819412,"laterrebleue-'my house, your house'",14423888,Terra,,Borgerhout Intra Muros Zuid,51.20914,4.43539,Private room,42,1,181,2025-08-10,1.44,1,357,16,
3426775,100 year old renovated home,14793024,Jorge,,Oud - Berchem,51.19884,4.42074,Entire home/apt,115,5,27,2025-04-02,0.21,1,80,1,
3581864,Sunny apartment with view on new ZUID park!,7386200,Mathieu,,Zuid,51.21179,4.39336,Entire home/apt,89,2,170,2025-09-13,1.25,1,92,29,
3857702,Apartment - 4 Guests - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22173,4.4092,Entire home/apt,240,2,43,2023-10-29,0.34,3,290,0,
3860392,Studio - City Center Antwerp,19891615,Bart,,Universiteitsbuurt,51.22118,4.4078,Private room,100,2,6,2024-03-04,0.05,3,250,0,
4032738,"Roof apartment, 1 bedroom",20906634,Sirene,,Borgerhout Intra Muros Noord,51.21566,4.43575,Entire home/apt,69,2,23,2025-08-10,0.17,1,161,6,
4265913,stadswoning/privé-parking/elektrisch laden,22144864,Greet,,Amandus - Atheneum,51.21765,4.4284,Entire home/apt,225,2,31,2025-07-07,0.23,4,358,2,
4266515,"gastenkamer met en-suite badkamer, parking",22144864,Greet,,Amandus - Atheneum,51.218739887595014,4.428639977092803,Private room,200,2,0,,,4,362,0,
4425751,"2 bedrooms, cosy sitting areas & rooftop terrace",3093188,Saskia,,Stadspark,51.20934,4.41503,Private room,62,1,128,2025-08-09,0.98,1,239,10,
4436052,"Large, colourful room with 3 beds",12114649,Christine,,Kiel,51.1841,4.38705,Private room,70,1,29,2016-10-02,0.22,1,306,0,
4468570,Chic Industrial Loft with Modern Tech in Antwerp.,23161267,Siegert,,Eilandje,51.22734,4.41206,Entire home/apt,73,21,1,2024-07-12,0.07,1,240,0,
4733497,"Louise Marie, romantisch huisje",24249803,Michel,,Sint-Andries,51.21743,4.39925,Entire home/apt,,2,120,2021-12-05,0.92,1,0,0,
4748466,South 44 - Tweeslaapkamerappartement op het Zuid,24507004,Nele,,Zuid,51.206662044239174,4.392056396958939,Entire home/apt,178,2,35,2025-08-24,0.89,1,312,11,
4900847,Lovely house great location,15529473,Liesbeth,,Borgerhout Intra Muros Noord,51.21784,4.43281,Entire home/apt,,2,8,2020-01-01,0.07,2,0,0,
4980368,2 bedroom appartement in Antwerp with amazing view,25674863,Sam,,Groenenhoek,51.20373,4.4406,Entire home/apt,,2,23,2025-07-29,0.20,2,148,3,
5020599,Stijlvolle dakstudio naast Chanel,13357011,Liselotte,,Theaterbuurt-Meir,51.21758,4.40584,Entire home/apt,83,3,60,2023-07-23,0.46,1,10,0,
5047962,Quiet place in an historical quarter,12309348,Luc & Kristina,,Haringrode,51.2027654,4.4244886,Private room,48,2,197,2025-08-31,1.52,1,308,9,
5143364,Light flat + seperate workspace,15066463,Lien,,Borgerhout Intra Muros Zuid,51.21311,4.43188,Entire home/apt,68,5,1,2023-08-31,0.04,1,211,0,
5233718,Apartment in Antwerp,27086764,Nina,,Theaterbuurt-Meir,51.21543,4.41303,Entire home/apt,81,3,43,2025-08-10,0.33,1,63,6,
5379855,Classy and spacious 19th cent loft with terrace.,6930093,"Ian, Jande En Marie",,Borgerhout Intra Muros Zuid,51.21492,4.43353,Entire home/apt,234,3,274,2025-08-31,2.15,4,160,21,
5574536,Central studio in historic center,28902892,AchA,,Historisch Centrum,51.21839,4.40051,Entire home/apt,93,2,175,2025-07-27,1.37,2,333,15,
5575185,Central apartment w/ exclusive view,28902892,AchA,,Historisch Centrum,51.2203,4.39997,Entire home/apt,113,2,399,2025-08-25,3.12,2,264,43,
5578067,Design loft in historic building,28920566,Jasper,,Universiteitsbuurt,51.22239,4.41479,Private room,90,2,258,2025-09-21,2.02,1,59,17,
5646286,Artistic Guesthouse WILMA - Hidden Gem in Antwerp,4715596,Caroline,,Borgerhout Intra Muros Noord,51.21531295776367,4.438201904296875,Entire home/apt,60,2,94,2024-10-29,0.74,3,71,2,
5789730,Back to Beck,30038566,Marleen,,Deurne Zuid Oost,51.19654,4.46076,Entire home/apt,48,7,54,2025-06-19,0.42,1,296,2,
5994895,Cosy apartment in historic house  Gulden Greffoen,11857224,Christel,,Historisch Centrum,51.219608,4.398143,Entire home/apt,113,3,74,2025-09-22,0.59,1,319,20,
6000928,Arendshof,29134589,Guido,,Deurne Oost,51.22313,4.48488,Entire home/apt,112,1,24,2025-08-16,0.20,1,363,4,
6004053,Room at 20 min.' walk from center,31168861,Monique,,Brederode,51.2025,4.39917,Private room,19,7,49,2025-08-26,0.39,1,127,10,
6046872,Feel Good  Antwerp City Apartment,27432928,Anastassya,,Stadspark,51.20735,4.41104,Entire home/apt,,2,80,2022-04-24,1.00,1,0,0,
6051973,Welcome to Tempor'area: Your Ultimate Home Away!,3970988,Arthur,,Theaterbuurt-Meir,51.214393615722656,4.403626918792725,Entire home/apt,135,2,165,2025-09-20,1.30,1,292,33,
6149034,Lovely flat with spectacular view!,25673165,Sharon,,Eilandje,51.23104,4.40388,Entire home/apt,51,2,626,2025-09-12,4.94,1,289,89,
6183201,Duplex Studio,31447903,Marjolijn,,Brederode,51.20516,4.39442,Entire home/apt,73,30,63,2025-09-05,0.50,1,137,3,
6418099,Book Lover's room near Station,33481052,Anne,,Borgerhout Intra Muros Zuid,51.21538,4.42761,Private room,52,20,324,2025-07-27,2.59,4,347,2,
6584668,Belle Epoque Townhouse Antwerp,9629145,Tom,,Stadspark,51.20815,4.41123,Entire home/apt,496,2,222,2025-09-22,1.79,1,262,29,
6672914,Cosy modern studio city-center WIFI & parking,34924663,Astrid,,Eilandje,51.23188,4.40614,Entire home/apt,56,2,77,2025-05-01,0.63,1,99,5,
6700898,Quiet with a view and morning light,33481052,Anne,,Borgerhout Intra Muros Zuid,51.215274810791016,4.4275407791137695,Private room,49,20,24,2025-02-25,0.19,4,253,2,
6843553,Cosy appartment in City Hotspot!,35860573,Katrijn,,Zurenborg,51.20734,4.43454,Entire home/apt,81,2,11,2025-08-24,0.09,1,68,6,
7027563,Studio aan de rand van Antwerpen,36841645,Anna,,Nieuw - Kwartier West,51.18863,4.42656,Entire home/apt,65,30,20,2020-05-28,0.16,1,119,0,
7067067,Master bedroom with 2 balconies,33481052,Anne,,Borgerhout Intra Muros Zuid,51.21528,4.42754,Private room,48,10,226,2025-07-25,1.82,4,319,1,
7298474,Authentic Belgian apartment,27585607,Christel,,Amandus - Atheneum,51.22388,4.42032,Entire home/apt,68,2,427,2025-08-17,3.45,2,328,30,
7552929,"Cozy, bright apartment with a vintage touch",10832813,Freya,,Borgerhout Intra Muros Noord,51.21714,4.44348,Entire home/apt,75,2,149,2025-08-20,1.20,1,247,10,
7724259,green paradise near central station,24189736,Paul,,Borgerhout Intra Muros Zuid,51.21213,4.4317,Entire home/apt,500,4,22,2025-07-28,0.18,1,364,2,
7814882,Licht duplex appartement,19889207,Alex,,Historisch Centrum,51.22406,4.40329,Entire home/apt,71,2,582,2025-09-09,4.73,4,48,48,
8038470,The Collector's House - city apartment met patio,42451031,Lana,,Historisch Centrum,51.2223,4.40453,Entire home/apt,128,1,191,2025-08-19,1.60,4,322,23,
8094749,Modern Loft bathed in light,2793445,Christophe,,Haringrode,51.20362,4.4212,Entire home/apt,223,1,44,2025-04-07,0.45,1,50,2,
8158582,Modern apartement in nice neighbourhood,43067380,Laura,,Groenenhoek,51.19842,4.44076,Entire home/apt,76,2,204,2025-09-07,3.20,1,27,40,
8256105,Spacious and light apartment in heart of Antwerp,43533942,Lisa,,Amandus - Atheneum,51.21815,4.42914,Entire home/apt,,3,6,2022-11-25,0.15,1,0,0,
8469104,Kapiteinswoonst woonboot. Barge Boat Wheelhouse,44600268,Tom,,Eilandje,51.23492,4.41387,Entire home/apt,160,1,53,2023-03-13,0.44,1,362,0,
8491381,Cozy flat in the centre of Antwerp,43163766,Olivier,,Zuid,51.2099,4.39645,Entire home/apt,,2,0,,,1,0,0,
8599666,Spacious 2-BR Flat with Terrace,222831298,Arne,,Theaterbuurt-Meir,51.21314,4.40439,Entire home/apt,129,2,569,2025-09-20,4.75,19,173,52,
8751883,Vakantiewoning Monnikenhoeve (#32),26893689,Filip,,Polder,51.34809,4.34193,Entire home/apt,416,2,52,2025-08-14,0.45,1,216,11,
8766126,Rustige studio,19889207,Alex,,Historisch Centrum,51.22201,4.40175,Entire home/apt,,2,783,2025-08-31,6.46,4,17,32,
8877884,Volledig appartement met terras op 't zuid,46459971,Pascal,,Zuid,51.20896,4.40023,Entire home/apt,75,2,190,2025-08-25,1.57,1,320,20,
8965535,Calm in the middle of the vibrant South District!,46855052,Marije,,Zuid,51.20629,4.39117,Entire home/apt,74,7,164,2025-08-31,1.41,1,289,12,
9063100,The Collector's House-guest house with 2 bathrooms,42451031,Lana,,Historisch Centrum,51.22089,4.40439,Entire home/apt,122,1,369,2025-09-21,3.10,4,304,25,
9126033,Cosy and light apartement,47542627,Moumouni,,Stuivenberg,51.2216,4.43292,Entire home/apt,70,2,106,2025-09-14,0.88,1,352,26,
9444009,Zalig antwerpen  beleven. ( Met gratis parkeren ),48943070,Anny,,Historisch Centrum,51.22563,4.40316,Private room,78,1,186,2025-08-09,1.56,1,340,28,
9444419,"300m² loft (terras & river view) ""Loft O""",4277604,Sarah,,Zuid,51.21258,4.39068,Entire home/apt,322,1,224,2025-09-07,1.91,3,16,16,
9809688,(2) Private room,11087865,Jay,,Universiteitsbuurt,51.22609,4.40984,Private room,44,1,497,2025-08-24,4.18,6,348,64,
9854143,A smile is our universal welcome :-),41687451,Irina & Gianpaolo,,Universiteitsbuurt,51.22214,4.4083,Entire home/apt,49,2,85,2020-01-30,0.71,1,0,0,
9911612,Room near mas museum and city center,11087865,Jay,,Universiteitsbuurt,51.22593,4.41114,Private room,41,1,280,2025-09-06,2.36,6,278,39,
9913124,Lux Loft in the heart of Historic Antwerp,50969699,Petra,,Historisch Centrum,51.22016,4.40346,Entire home/apt,186,2,273,2025-08-17,2.33,2,303,15,
10015096,2 slpk appartement op toplocatie,51433236,Tinne,,Theaterbuurt-Meir,51.21244,4.40585,Entire home/apt,56,28,169,2023-08-09,1.44,1,119,0,
10170353,101、Antwerp central station's charming apartment,52106350,Fengyi Inn,,Centraal Station,51.21747,4.42475,Entire home/apt,151,2,188,2025-08-10,1.61,5,358,19,
10582792,House of Books for your summer,33481052,Anne,,Borgerhout Intra Muros Zuid,51.21533,4.42782,Private room,,10,1,2019-01-03,0.01,4,0,0,
10593348,NEW! One bedroom w/ garage in central Berchem,53790538,Sam,,Oud - Berchem,51.199057946158526,4.422797107471934,Entire home/apt,70,2,19,2025-09-23,2.33,1,219,19,
