id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45026,Apartment raised basement,198732,Christine,,Saint-Gilles,50.82677,4.34987,Entire home/apt,64,1,184,2025-09-21,1.01,1,321,73,
48180,in renewal,219560,Ahmet,,Woluwe-Saint-Pierre,50.83771,4.40707,Entire home/apt,229,2,0,,,1,365,0,
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83362,4.36057,Entire home/apt,83,5,133,2025-05-05,0.75,1,273,10,
80257,Private New York Apt-Brussels Midi Station&Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,147,1,10,2024-12-01,0.06,15,246,1,
80320,Private Medina Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,163,1,75,2023-05-28,0.43,15,190,0,
80373,Private Villa Romaine Apt- Midi station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,141,1,19,2024-12-16,0.16,15,232,1,
96293,Big Family N°1 Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,250,1,57,2025-04-19,0.33,15,221,1,
96642,Private Violetta Apt-Brussels Midi Station &Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,141,1,30,2025-05-22,0.17,15,217,3,
96694,Private Mimosa Apt -Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,193,1,49,2024-07-07,0.29,15,243,0,
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.87048,4.37904,Hotel room,81,2,3,2016-05-26,0.02,2,60,0,
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80688,4.33337,Private room,60,92,2,2021-06-30,0.03,2,77,0,
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.80657,4.33571,Entire home/apt,67,92,1,2019-09-30,0.01,2,290,0,
118707,Private Apt Sydney-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,165,1,50,2025-04-28,0.29,15,245,3,
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84581,4.35008,Hotel room,114,2,291,2025-09-21,1.67,2,278,57,
134357,Private Apt Florence-Brussels Midi Station &Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,146,1,27,2025-03-16,0.20,15,184,1,
134361,Private Lilas Apt- Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,193,1,43,2025-05-19,0.28,15,245,2,
134504,Private Villarosa Apt-Brussels Midi Station&Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,174,1,29,2024-10-28,0.17,15,225,1,
134581,Big Family N°2 Apt-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,241,1,153,2025-07-27,0.88,15,239,10,
148114,Private Savane Apt-Brussels Midi Station & Center,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,174,1,15,2023-03-19,0.09,15,213,0,
196623,LOFT JAMAR BRUXELLES GARE DU MIDI,957771,Sylvain,,Anderlecht,50.84,4.33689,Entire home/apt,102,1,216,2025-03-09,1.28,1,276,3,
200385,Bright and Charming Apartment with sunny terrace!,624176,Daan,,Saint-Gilles,50.8264,4.34247,Entire home/apt,120,2,576,2025-09-23,4.57,1,310,103,
268652,Contemporary Art Flat in Centre,1408080,Luc,,Bruxelles,50.852,4.34017,Entire home/apt,117,1,401,2025-08-14,2.42,1,260,13,
269844,Beautiful apartment near EU offices,1171205,Elena,,Bruxelles,50.84584,4.37564,Entire home/apt,141,2,171,2025-09-10,1.02,2,225,34,
302472,Brussels EU Uptown charming modern!,71215,Ariane,,Ixelles,50.81523,4.35168,Entire home/apt,119,5,8,2025-05-25,0.06,1,265,1,
348575,Duplex first floor - Brussels,1764707,Marcelo,,Bruxelles,50.84902,4.3653,Entire home/apt,108,5,236,2025-08-16,1.45,2,280,5,
378953,Large house & garden front room,1823420,Vincent,,Woluwe-Saint-Lambert,50.86206,4.4274,Private room,50,3,70,2025-01-01,0.46,3,230,3,
378955,A nice & green place for a long stay,1823420,Vincent,,Evere,50.8619,4.42555,Entire home/apt,67,14,24,2025-07-12,0.15,3,207,4,
